produto;descrição;qut;precro_bruto;prateleira
15171121BN;ANEL TV BOR 5 PCS PEQ HONDA CIVIC D15ZI D16A6 D16Z;5,;41,24;C30-C.4
15172211BN;ANEL TV BOR 5 PCS PEQ TOYOTA COROLLA PASEO TERCEL;0,;97,24;
12171611BN;ANEL TV BOR 6 PCS GM CAPTIVA MTR 10HM 3.6 24V V6;0,;56,89;
15171691BN;ANEL TV BOR 8 PCS HONDA FIT CITY JAZZ I-DSI TWIN S;0,;38,15;C30-A.1
15171361BN;ANEL TV BOR CIVIC CRX 92 MTR D16A7 SOHC 1 6 16;0,;52,69;
15172271BN;ANEL TV BOR HONDA ACCORD 2 3 16VAL VTEC F23A3 F23A;0,;147,66;
15171961BN;ANEL TV BOR MITSUBI TRITON 3.2 NISSAN FRONTIER 2.5;4,;38,81;C20-J.1
1517873BN;ANEL TV BOR RENAULT CLIO KANGOO TWINGO PEUGEOT 206;6,;15,71;C30-D.5
15171541BN;ANEL TV BOR TOYOTA COROLLA PRIUS 07/... 2ZR-FE 1.8;0,;74,01;
1117061BN;ANEL TV BOR VW GOL AT 1000 8V 97/...;11,;17,09;DIV-1_C.2
1417071BN;ANEL TV FIAT TEMPRA TIPO 2.0 16 VAL;67,;25,37;TV-14_E.2
1317491BN;ANEL TV FORD ESCORT MONDEO ZETEC 1.8 2.0 16 VAL;0,;47,25;
12171051BN;ANEL TV GM S10 BLAZER VORTEC GAS V6 4.3;0,;47,25;
1217131BN;ANEL TV GM VECTRA ASTRA CORSA 16V FIAT ETOEQ 1.6 1;0,;13,75;
42121171;ANEL VAL RECIRCULACAO GASES GM CORSA MERIVA 1.0 1.;0,;7,17;
114217;ANEL VAL TERM BAH BJA BLH BORA CROSSFOX FOX GOL GO;0,;4,16;
1242873;ANEL VAL TERM BY-PASS VITILALACAO GM VECTRA ASTRA;0,;4,57;
143587;ANEL VAL TERMOST FIAT DOBLO GRAND SIENA IDEA PALIO;7,;55,20;DIV-3_F.5
143588;ANEL VAL TERMOST FIAT DOBLO GRAND SIENA IDEA PALIO;0,;55,20;
123505;ANEL VAL TERMOSTATICA ABERTO GM MONZA KADETT IPANE;0,;4,43;
1135116;ANEL VAL TERMOSTATICA BB DAGUA VW JETTA PASSAT TIG;0,;57,63;
15355002;ANEL VAL TERMOSTATICA BBA DAGUA TOYOTA LANDCRUISER;0,;12,81;
1335491;ANEL VAL TERMOSTATICA CARC FORD ESCORT MONDEO ZETE;0,;3,03;
1335431;ANEL VAL TERMOSTATICA CARC FORD FIESTA COURIER ZET;10,;3,15;
1242872;ANEL VAL TERMOSTATICA CARC GM VECTRA ASTRA S10 2.0;0,;7,14;
113513;ANEL VAL TERMOSTATICA CARC VW PASSAT SANTANA GOL A;0,;5,66;
123593;ANEL VAL TERMOSTATICA CORSA 1.0 16V;30,;0,00;DIV-3_H.4
1442573;ANEL VAL TERMOSTATICA FIAT BRAVA PALIO STRADA SIEN;0,;3,47;
